Commit,Author,Date,FileCount
bd11691d6520f7539e7ed2efdf75f266719e27e9,Jeff Bailey,2000-02-17 03:03:19+00:00,38
c2f262a05ac862842363dd86ba47962009c068ac,Gary V. Vaughan,2000-11-24 01:31:32+00:00,39
1691fa49fb62043d4f660397c2d15742cb2aa4dd,Gary V. Vaughan,2000-11-24 23:24:33+00:00,38
479ae72f19645ef8a2d5b742baccd285c64844a5,Gary V. Vaughan,2000-11-25 00:17:10+00:00,0
e9109737dc514fa3b338095cc910dc72de855625,Gary V. Vaughan,2000-11-25 00:29:17+00:00,1
1b291af14992d6d330e7fd034d7103da4353f85d,Gary V. Vaughan,2000-11-25 00:36:24+00:00,1
ee58dbb3adea45f715f4d8d0b7d8c2ab13435add,Gary V. Vaughan,2000-11-25 01:11:42+00:00,0
65f6dfc35b48f124bb7dc3a0e26d0c30abffa464,Gary V. Vaughan,2000-11-25 01:12:51+00:00,0
b3d254d4b5d211cb26d736efa02fe5af05c36076,Gary V. Vaughan,2000-11-25 01:20:41+00:00,0
dff82f53d81650751297e797e3cc9327f8410f27,Gary V. Vaughan,2000-11-25 01:23:04+00:00,0
7c0bd3da051ad3bca42588af4ebcd4ec7cf01190,Gary V. Vaughan,2000-11-25 01:23:43+00:00,0
bf75b7c5a25393af1e559493bf9517f24f3c8104,Gary V. Vaughan,2000-11-25 02:55:23+00:00,2
8a78ed8bfdd9eece7c3c411b7638e44008546ad6,Gary V. Vaughan,2000-11-25 03:29:06+00:00,1
5e8200459bcdbfa46b6a70cd1054fb470db052ed,Gary V. Vaughan,2000-11-27 22:19:26+00:00,3
a95a114b1d01028c1ea4d5b8e151a4453823694e,Gary V. Vaughan,2000-11-27 22:20:03+00:00,1
5e27e0df7b13906d07ab6cea3abd46968a9b6291,Gary V. Vaughan,2000-11-27 22:26:42+00:00,1
a8a58f3171f5ce7c1e7655d421b0ceb42d66d043,Gary V. Vaughan,2000-11-27 22:48:11+00:00,0
effe106d7f2145fb62e9c9d4e9985d0dcca1d88a,Gary V. Vaughan,2000-11-27 22:54:22+00:00,2
74724608de4b22cd753abf0b7822b467be8a3147,Gary V. Vaughan,2000-11-27 23:28:45+00:00,3
b4925d1d03d740be6e518d2851034357739645c9,Gary V. Vaughan,2000-11-29 00:18:03+00:00,12
cd20972ba0020647c9109a03b63006a4e61cb6ca,Gary V. Vaughan,2000-11-29 00:20:48+00:00,0
d7c7dd09fbf95405228c77f32f8f59acc1f27139,Gary V. Vaughan,2000-11-29 23:13:02+00:00,2
