"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total","Perc_Major","Perc_Minor"
"David Mackenzie","1991-11-01","Major",1,0,1,100,0
"Richard M. Stallman","1992-06-01","Major",2,0,2,100,0
"David Mackenzie","1993-04-01","Major",2,0,2,100,0
"Richard M. Stallman","1995-10-01","Major",2,0,2,100,0
"Jesse Thilo","1998-11-01","Major",3,0,3,100,0
"Akim Demaille","2000-03-01","Major",4,0,4,100,0
"Akim Demaille","2000-04-01","Major",4,0,4,100,0
"Akim Demaille","2000-09-01","Major",4,0,4,100,0
"Akim Demaille","2000-10-01","Major",4,0,4,100,0
"Akim Demaille","2000-11-01","Major",4,0,4,100,0
"Akim Demaille","2000-12-01","Major",4,0,4,100,0
"Akim Demaille","2001-01-01","Major",4,0,4,100,0
"Jesse Thilo","2001-01-01","Major",4,0,4,100,0
"Akim Demaille","2001-02-01","Major",4,0,4,100,0
"Akim Demaille","2001-03-01","Major",4,0,4,100,0
"Akim Demaille","2001-07-01","Major",4,0,4,100,0
"Akim Demaille","2001-08-01","Major",4,0,4,100,0
"Pascal Bart","2001-08-01","Major",6,0,6,100,0
"Robert Anisko","2001-08-01","Major",6,0,6,100,0
"Pascal Bart","2001-09-01","Major",6,0,6,100,0
"Akim Demaille","2001-10-01","Major",6,0,6,100,0
"Paul Eggert","2001-10-01","Major",7,0,7,100,0
"Akim Demaille","2001-11-01","Major",7,0,7,100,0
"Akim Demaille","2001-12-01","Major",7,0,7,100,0
"Akim Demaille","2002-01-01","Major",7,0,7,100,0
"Akim Demaille","2002-02-01","Major",7,0,7,100,0
"Akim Demaille","2002-03-01","Major",7,0,7,100,0
"Akim Demaille","2002-04-01","Major",7,0,7,100,0
"Akim Demaille","2002-05-01","Major",7,0,7,100,0
"Akim Demaille","2002-06-01","Major",7,0,7,100,0
"Akim Demaille","2002-07-01","Major",7,0,7,100,0
"Akim Demaille","2002-08-01","Major",7,0,7,100,0
"Paul Eggert","2002-08-01","Major",7,0,7,100,0
"Akim Demaille","2002-09-01","Major",7,0,7,100,0
"Akim Demaille","2002-10-01","Major",7,0,7,100,0
"Paul Eggert","2002-10-01","Major",7,0,7,100,0
"Akim Demaille","2002-11-01","Major",7,0,7,100,0
"Paul Eggert","2002-11-01","Major",7,0,7,100,0
"Paul Eggert","2002-12-01","Major",7,0,7,100,0
"Paul Eggert","2003-01-01","Major",7,0,7,100,0
"Akim Demaille","2003-02-01","Major",7,0,7,100,0
"Paul Eggert","2003-02-01","Major",7,0,7,100,0
"Akim Demaille","2003-03-01","Major",7,0,7,100,0
"Paul Eggert","2003-03-01","Major",7,0,7,100,0
"Akim Demaille","2003-04-01","Major",7,0,7,100,0
"Paul Eggert","2003-05-01","Major",7,0,7,100,0
"Paul Eggert","2003-06-01","Major",7,0,7,100,0
"Akim Demaille","2003-08-01","Major",7,0,7,100,0
"Akim Demaille","2003-10-01","Major",7,0,7,100,0
"Paul Eggert","2004-03-01","Major",7,0,7,100,0
"Paul Eggert","2004-04-01","Major",7,0,7,100,0
"Paul Eggert","2004-05-01","Major",7,0,7,100,0
"Akim Demaille","2004-08-01","Major",7,0,7,100,0
"Akim Demaille","2004-09-01","Major",7,0,7,100,0
"Akim Demaille","2004-10-01","Major",7,0,7,100,0
"Paul Eggert","2004-10-01","Major",7,0,7,100,0
"Paul Eggert","2004-11-01","Major",7,0,7,100,0
"Akim Demaille","2004-12-01","Major",7,0,7,100,0
"Paul Eggert","2004-12-01","Major",7,0,7,100,0
"Paul Eggert","2005-01-01","Major",7,0,7,100,0
"Paul Eggert","2005-03-01","Major",7,0,7,100,0
"Paul Eggert","2005-05-01","Major",7,0,7,100,0
"Akim Demaille","2005-07-01","Major",7,0,7,100,0
"Paul Eggert","2005-07-01","Major",7,0,7,100,0
"Akim Demaille","2005-09-01","Major",7,0,7,100,0
"Paul Eggert","2005-09-01","Major",7,0,7,100,0
"Akim Demaille","2005-10-01","Major",7,0,7,100,0
"Juan Manuel Guerrero","2005-10-01","Major",8,0,8,100,0
"Paul Eggert","2005-10-01","Major",8,0,8,100,0
"Akim Demaille","2005-11-01","Major",8,0,8,100,0
"Akim Demaille","2005-12-01","Major",8,0,8,100,0
"Paul Eggert","2005-12-01","Major",8,0,8,100,0
"Akim Demaille","2006-01-01","Major",8,0,8,100,0
"Paul Eggert","2006-01-01","Major",8,0,8,100,0
"Akim Demaille","2006-03-01","Major",8,0,8,100,0
"Akim Demaille","2006-05-01","Major",8,0,8,100,0
"Akim Demaille","2006-06-01","Major",8,0,8,100,0
"Joel E. Denny","2006-06-01","Major",9,0,9,100,0
"Akim Demaille","2006-07-01","Major",9,0,9,100,0
"Paul Eggert","2006-08-01","Major",9,0,9,100,0
"Paul Eggert","2006-09-01","Major",9,0,9,100,0
"Joel E. Denny","2006-10-01","Major",9,0,9,100,0
"Paul Eggert","2006-10-01","Major",9,0,9,100,0
"Joel E. Denny","2006-11-01","Major",9,0,9,100,0
"Paul Eggert","2006-11-01","Major",9,0,9,100,0
"Joel E. Denny","2006-12-01","Major",9,0,9,100,0
