"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total","Perc_Major","Perc_Minor"
"Thomas E. Dickey","1993-11-01","Major",1,0,1,100,0
"Thomas E. Dickey","1996-02-01","Major",1,0,1,100,0
"Thomas E. Dickey","1996-05-01","Major",1,0,1,100,0
"Thomas E. Dickey","1996-08-01","Major",1,0,1,100,0
"Thomas E. Dickey","1996-09-01","Major",1,0,1,100,0
"Thomas E. Dickey","1996-10-01","Major",1,0,1,100,0
"Thomas E. Dickey","1996-12-01","Major",1,0,1,100,0
"Thomas E. Dickey","1997-01-01","Major",1,0,1,100,0
"Thomas E. Dickey","1997-05-01","Major",1,0,1,100,0
"Thomas E. Dickey","1997-06-01","Major",1,0,1,100,0
"Thomas E. Dickey","1997-07-01","Major",1,0,1,100,0
"Thomas E. Dickey","1997-08-01","Major",1,0,1,100,0
"Thomas E. Dickey","1997-09-01","Major",1,0,1,100,0
"Thomas E. Dickey","1997-10-01","Major",1,0,1,100,0
"Thomas E. Dickey","1997-11-01","Major",1,0,1,100,0
"Thomas E. Dickey","1997-12-01","Major",1,0,1,100,0
"Thomas E. Dickey","1998-01-01","Major",1,0,1,100,0
"Thomas E. Dickey","1998-02-01","Major",1,0,1,100,0
"Thomas E. Dickey","1998-03-01","Major",1,0,1,100,0
"Thomas E. Dickey","1998-04-01","Major",1,0,1,100,0
"Thomas E. Dickey","1998-05-01","Major",1,0,1,100,0
"Thomas E. Dickey","1998-06-01","Major",1,0,1,100,0
"Thomas E. Dickey","1998-07-01","Major",1,0,1,100,0
"Thomas E. Dickey","1998-08-01","Major",1,0,1,100,0
"Thomas E. Dickey","1998-10-01","Major",1,0,1,100,0
"Thomas E. Dickey","1998-11-01","Major",1,0,1,100,0
"Thomas E. Dickey","1998-12-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-01-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-02-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-03-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-04-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-05-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-06-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-07-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-08-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-09-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-10-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-11-01","Major",1,0,1,100,0
"Thomas E. Dickey","1999-12-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-01-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-02-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-03-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-04-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-05-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-06-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-07-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-08-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-09-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-10-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-11-01","Major",1,0,1,100,0
"Thomas E. Dickey","2000-12-01","Major",1,0,1,100,0
"Thomas E. Dickey","2001-03-01","Major",1,0,1,100,0
"Thomas E. Dickey","2001-04-01","Major",1,0,1,100,0
"Thomas E. Dickey","2001-06-01","Major",1,0,1,100,0
"Thomas E. Dickey","2001-09-01","Major",1,0,1,100,0
"Thomas E. Dickey","2001-10-01","Major",1,0,1,100,0
"Thomas E. Dickey","2001-11-01","Major",1,0,1,100,0
"Thomas E. Dickey","2002-01-01","Major",1,0,1,100,0
"Thomas E. Dickey","2002-03-01","Major",1,0,1,100,0
"Thomas E. Dickey","2002-08-01","Major",1,0,1,100,0
"Thomas E. Dickey","2002-09-01","Major",1,0,1,100,0
"Thomas E. Dickey","2002-10-01","Major",1,0,1,100,0
"Thomas E. Dickey","2002-12-01","Major",1,0,1,100,0
"Thomas E. Dickey","2003-02-01","Major",1,0,1,100,0
"Thomas E. Dickey","2003-03-01","Major",1,0,1,100,0
"Thomas E. Dickey","2003-05-01","Major",1,0,1,100,0
"Thomas E. Dickey","2003-10-01","Major",1,0,1,100,0
"Thomas E. Dickey","2003-12-01","Major",1,0,1,100,0
"Thomas E. Dickey","2004-03-01","Major",1,0,1,100,0
"Thomas E. Dickey","2004-04-01","Major",1,0,1,100,0
"Thomas E. Dickey","2004-05-01","Major",1,0,1,100,0
"Thomas E. Dickey","2004-06-01","Major",1,0,1,100,0
"Thomas E. Dickey","2004-07-01","Major",1,0,1,100,0
"Thomas E. Dickey","2004-08-01","Major",1,0,1,100,0
"Thomas E. Dickey","2004-12-01","Major",1,0,1,100,0
"Thomas E. Dickey","2005-01-01","Major",1,0,1,100,0
"Thomas E. Dickey","2005-02-01","Major",1,0,1,100,0
"Thomas E. Dickey","2005-04-01","Major",1,0,1,100,0
"Thomas E. Dickey","2005-05-01","Major",1,0,1,100,0
"Thomas E. Dickey","2005-07-01","Major",1,0,1,100,0
